original,log_transform,sqrt_transform,boxcox_transform
7443,8.915163617762142,86.27282306729043,757.142183657966
7444,8.915297945118109,86.27861844049197,757.2139891753346
7445,8.915432254432663,86.28441342444185,757.2857918430063
7446,8.915566545710645,86.2902080192185,757.3575916614769
7447,8.915700818956903,86.29600222490032,757.429388631244
7448,8.915835074176277,86.30179604156567,757.501182752801
7449,8.915969311373605,86.3075894692929,757.5729740266439
7450,8.916103530553727,86.31338250816034,757.6447624532685
7451,8.916237731721479,86.31917515824627,757.7165480331697
7452,8.916371914881694,86.32496741962895,757.7883307668418
7453,8.916506080039204,86.33075929238663,757.8601106547795
7454,8.916640227198839,86.3365507765975,757.9318876974786
7455,8.916774356365426,86.34234187233979,758.0036618954333
7456,8.916908467543795,86.34813257969161,758.0754332491365
7457,8.917042560738766,86.35392289873113,758.1472017590846
7458,8.917176635955164,86.35971282953643,758.2189674257693
7459,8.917310693197807,86.36550237218562,758.2907302496851
7460,8.917444732471514,86.37129152675674,758.362490231327
7461,8.917578753781104,86.37708029332781,758.4342473711868
7462,8.917712757131387,86.38286867197685,758.5060016697598
7463,8.91784674252718,86.38865666278183,758.5777531275381
7464,8.91798070997329,86.39444426582071,758.6495017450143
7465,8.91811465947453,86.40023148117139,758.7212475226819
7466,8.918248591035702,86.4060183089118,758.7929904610337
7467,8.918382504661613,86.41180474911978,758.864730560562
7468,8.918516400357067,86.4175908018732,758.9364678217612
7469,8.918650278126863,86.42337646724988,759.00820224512
7470,8.918784137975802,86.4291617453276,759.079933831134
7471,8.918917979908679,86.43494663618414,759.1516625802941
7472,8.91905180393029,86.44073113989724,759.2233884930916
7473,8.91918561004543,86.44651525654461,759.2951115700193
7474,8.919319398258887,86.45229898620394,759.3668318115671
7475,8.919453168575453,86.45808232895291,759.4385492182278
7476,8.919586920999915,86.46386528486914,759.5102637904923
7477,8.91972065553706,86.46964785403026,759.5819755288522
7478,8.919854372191667,86.47543003651384,759.6536844337982
7479,8.919988070968524,86.48121183239745,759.7253905058197
7480,8.920121751872404,86.48699324175861,759.7970937454095
7481,8.920255414908091,86.49277426467485,759.8687941530577
7482,8.920389060080359,86.49855490122364,759.9404917292535
7483,8.92052268739398,86.50433515148244,760.0121864744884
7484,8.920656296853728,86.51011501552867,760.0838783892522
7485,8.920789888464375,86.51589449343976,760.1555674740338
7486,8.920923462230686,86.52167358529307,760.227253729324
7487,8.921057018157429,86.52745229116596,760.2989371556123
7488,8.921190556249368,86.53323061113575,760.3706177533882
7489,8.921324076511265,86.53900854527974,760.4422955231408
7490,8.921457578947884,86.54478609367523,760.5139704653593
7491,8.921591063563978,86.55056325639943,760.585642580533
7492,8.92172453036431,86.55634003352961,760.6573118691504
7493,8.921857979353632,86.56211642514293,760.7289783317007
7494,8.921991410536698,86.5678924313166,760.8006419686708
7495,8.922124823918258,86.57366805212772,760.8723027805523
7496,8.922258219503062,86.57944328765345,760.9439607678308
7497,8.922391597295857,86.58521813797087,761.0156159309955
7498,8.92252495730139,86.59099260315706,761.0872682705349
7499,8.922658299524402,86.59676668328905,761.1589177869346
7500,8.922791623969637,86.60254037844386,761.2305644806845
7501,8.922924930641832,86.6083136886985,761.302208352272
7502,8.923058219545728,86.61408661412992,761.3738494021824
