,재비산먼지 평균농도(㎍/㎥)
813,9.0
814,10.0
815,7.0
816,5.0
817,8.0
818,4.0
819,4.0
820,2.0
821,10.0
822,9.0
823,15.0
824,13.0
825,10.0
826,8.0
827,6.0
828,6.0
829,7.0
830,7.0
831,16.0
832,5.0
833,5.0
834,5.0
835,2.0
836,1.0
837,5.0
838,2.0
839,4.0
840,9.0
841,4.0
842,4.0
843,3.0
844,8.0
845,8.0
846,13.0
847,9.0
848,92.0
849,14.0
850,5.0
851,4.0
852,9.0
853,6.0
854,56.0
855,4.0
856,5.0
857,9.0
858,7.0
859,9.0
860,4.0
861,15.0
862,27.0
863,16.0
864,22.0
865,13.0
866,14.0
867,14.0
868,13.0
869,13.0
870,16.0
871,16.0
872,26.0
873,23.0
874,32.0
875,14.0
876,11.0
877,17.0
878,10.0
879,7.0
880,12.0
881,23.0
882,96.0
883,16.0
884,7.0
885,6.0
886,6.0
887,9.0
888,12.0
889,6.0
890,14.0
891,36.0
892,11.0
893,9.0
894,9.0
895,10.0
896,12.0
897,14.0
898,24.0
899,13.0
900,28.0
901,6.0
902,7.0
903,6.0
904,7.0
905,7.0
906,7.0
907,8.0
908,6.0
909,16.0
910,10.0
911,21.0
912,11.0
913,11.0
914,6.0
915,9.0
916,15.0
917,10.0
918,10.0
919,7.0
920,11.0
921,10.0
922,7.0
923,10.0
924,10.0
925,7.0
926,18.0
927,54.0
928,39.0
929,61.0
930,10.0
931,16.0
932,7.0
933,10.0
934,32.0
935,14.0
936,5.0
937,15.0
938,4.0
939,5.0
940,5.0
941,8.0
942,4.0
943,4.0
944,4.0
945,3.0
946,50.0
947,10.0
948,4.0
949,6.0
950,24.0
951,56.0
952,47.0
953,25.0
954,23.0
955,20.0
956,21.0
957,38.0
958,23.0
959,27.0
960,15.0
961,79.0
962,16.0
963,8.0
964,8.0
965,5.0
966,6.0
967,5.0
968,4.0
969,4.0
970,33.0
971,9.0
972,4.0
973,6.0
974,7.0
975,6.0
976,6.0
977,10.0
978,6.0
979,5.0
980,9.0
981,11.0
982,15.0
983,16.0
984,19.0
985,18.0
986,40.0
987,37.0
988,82.0
989,23.0
990,11.0
991,7.0
992,20.0
993,5.0
994,7.0
995,4.0
996,6.0
997,7.0
998,5.0
999,3.0
1000,5.0
1001,5.0
1002,9.0
1003,7.0
1004,14.0
1005,5.0
1006,7.0
1007,5.0
1008,10.0
1009,10.0
1010,5.0
1011,18.0
1012,5.0
1013,3.0
1014,11.0
1015,3.0
1016,5.0
1017,4.0
1018,6.0
1019,6.0
1020,16.0
1021,7.0
1022,4.0
1023,51.0
1024,6.0
1025,7.0
1026,6.0
1027,9.0
1028,6.0
1029,4.0
1030,70.0
1031,4.0
1032,20.0
1033,4.0
1034,11.0
1035,4.0
1036,3.0
1037,11.0
1038,4.0
1039,2.0
1040,4.0
1041,8.0
1042,8.0
1043,11.0
1044,25.0
1045,4.0
1046,8.0
1047,5.0
1048,6.0
1049,5.0
1050,6.0
1051,7.0
1052,7.0
1053,9.0
1054,4.0
1055,43.0
1056,7.0
1057,6.0
1058,6.0
1059,15.0
1060,4.0
1061,7.0
1062,8.0
1063,1.0
1064,7.0
1065,6.0
1066,5.0
1067,11.0
1068,23.0
1069,4.0
1070,10.0
1071,7.0
1072,6.0
1073,7.0
1074,5.0
1075,3.0
1076,7.0
1077,3.0
1078,3.0
1079,5.0
1080,2.0
1081,18.0
1082,7.0
1083,18.0
1084,10.0
1085,9.0
1086,9.0
1087,5.0
1088,10.0
1089,11.0
1090,18.0
1091,9.0
1092,5.0
1093,3.0
1094,4.0
1095,5.0
1096,7.0
1097,5.0
1098,62.0
1099,7.0
1100,12.0
1101,6.0
1102,12.0
1103,20.0
1104,12.0
1105,12.0
1106,14.0
1107,3.0
1108,1.0
1109,8.0
1110,4.0
1111,9.0
1112,4.0
1113,19.0
1114,6.0
1115,6.0
1116,2.0
1117,3.0
1118,2.0
1119,8.0
1120,10.0
1121,5.0
1122,10.0
1123,14.0
1124,8.0
1125,8.0
1126,53.0
1127,32.0
1128,34.0
1129,31.0
1130,33.0
1131,28.0
1132,25.0
1133,24.0
1134,25.0
1135,27.0
1136,27.0
1137,17.0
1138,14.0
1139,6.0
1140,18.0
1141,4.0
1142,5.0
1143,3.0
1144,6.0
1145,7.0
1146,13.0
1147,4.0
1148,3.0
1149,4.0
1150,5.0
1151,8.0
1152,13.0
1153,19.0
1154,12.0
1155,14.0
1156,14.0
1157,11.0
1158,12.0
1159,14.0
1160,11.0
1161,11.0
1162,10.0
1163,9.0
1164,20.0
1165,13.0
1166,12.0
1167,15.0
1168,27.0
1169,16.0
1170,15.0
1171,9.0
1172,17.0
1173,10.0
1174,18.0
1175,10.0
1176,7.0
1177,7.0
1178,8.0
1179,6.0
1180,6.0
1181,6.0
1182,17.0
1183,6.0
1184,7.0
1185,5.0
1186,9.0
1187,21.0
1188,26.0
1189,31.0
1190,39.0
1191,118.0
1192,39.0
1193,45.0
1194,54.0
1195,50.0
1196,50.0
1197,44.0
1198,12.0
1199,9.0
1200,7.0
1201,11.0
1202,9.0
1203,8.0
1204,19.0
1205,8.0
1206,12.0
1207,13.0
1208,10.0
1209,19.0
1210,14.0
1211,14.0
1212,11.0
1213,15.0
1214,12.0
1215,13.0
1216,6.0
1217,27.0
1218,6.0
1219,5.0
1220,4.0
1221,4.0
1222,5.0
1223,14.0
1224,17.0
1225,36.0
1226,20.0
1227,14.0
1228,10.0
1229,14.0
1230,12.0
1231,10.0
1232,10.0
1233,20.0
1234,12.0
1235,9.0
1236,9.0
1237,11.0
1238,30.0
1239,52.0
1240,69.0
1241,24.0
1242,31.0
1243,29.0
1244,41.0
1245,32.0
1246,31.0
1247,34.0
1248,14.0
1249,7.0
1250,9.0
1251,51.0
1252,7.0
1253,14.0
1254,10.0
1255,12.0
1256,13.0
1257,12.0
1258,11.0
1259,4.0
1260,13.0
1261,14.0
1262,19.0
1263,13.0
1264,116.0
1265,17.0
1266,15.0
1267,7.0
1268,10.0
1269,9.0
1270,68.0
1271,11.0
1272,11.0
1273,7.0
1274,7.0
1275,10.0
1276,9.0
1277,24.0
1278,13.0
1279,12.0
1280,14.0
1281,14.0
1282,13.0
1283,10.0
1284,9.0
1285,15.0
1286,15.0
1287,11.0
1288,27.0
1289,12.0
1290,9.0
1291,9.0
1292,6.0
1293,13.0
1294,9.0
1295,10.0
1296,5.0
1297,14.0
1298,6.0
1299,7.0
1300,15.0
1301,9.0
1302,10.0
1303,24.0
1304,11.0
1305,50.0
1306,9.0
1307,35.0
1308,7.0
1309,9.0
1310,22.0
1311,14.0
1312,12.0
1313,14.0
1314,13.0
1315,13.0
1316,13.0
1317,11.0
1318,10.0
1319,12.0
1320,13.0
1321,23.0
1322,17.0
1323,11.0
1324,11.0
1325,17.0
1326,33.0
1327,13.0
1328,13.0
1329,13.0
1330,9.0
1331,7.0
1332,7.0
1333,8.0
1334,7.0
1335,8.0
1336,6.0
1337,12.0
1338,9.0
1339,5.0
1340,7.0
1341,6.0
1342,11.0
1343,6.0
1344,9.0
1345,8.0
1346,77.0
1347,4.0
1348,7.0
1349,3.0
1350,12.0
1351,23.0
1352,6.0
1353,55.0
1354,22.0
1355,22.0
1356,3.0
1357,5.0
1358,10.0
1359,7.0
1360,8.0
1361,11.0
1362,30.0
1363,10.0
1364,4.0
1365,4.0
1366,91.0
1367,7.0
1368,5.0
1369,4.0
1370,18.0
1371,20.0
1372,21.0
1373,21.0
1374,19.0
1375,21.0
1376,58.0
1377,20.0
1378,22.0
1379,169.20999999999913
1380,47.0
1381,18.0
1382,36.0
1383,13.0
1384,19.0
1385,16.0
1386,39.0
1387,21.0
1388,16.0
1389,26.0
1390,8.0
1391,5.0
1392,6.0
1393,7.0
1394,6.0
1395,6.0
1396,6.0
1397,9.0
1398,7.0
1399,10.0
1400,28.0
1401,21.0
1402,10.0
1403,30.0
1404,30.0
1405,7.0
1406,11.0
1407,14.0
1408,9.0
1409,9.0
1410,58.0
1411,17.0
1412,19.0
1413,21.0
1414,31.0
1415,8.0
1416,14.0
1417,8.0
1418,12.0
1419,8.0
1420,25.0
1421,7.0
1422,29.0
1423,8.0
1424,8.0
1425,13.0
1426,22.0
1427,19.0
1428,14.0
1429,82.0
1430,12.0
1431,5.0
1432,4.0
1433,8.0
1434,4.0
1435,8.0
1436,7.0
1437,3.0
1438,11.0
1439,4.0
1440,4.0
1441,4.0
1442,6.0
1443,3.0
1444,7.0
1445,19.0
1446,11.0
1447,20.0
1448,39.0
1449,35.0
1450,15.0
1451,18.0
1452,22.0
1453,30.0
1454,19.0
1455,12.0
1456,7.0
1457,5.0
1458,5.0
1459,9.0
1460,10.0
1461,16.0
1462,16.0
1463,15.0
1464,32.0
1465,22.0
